run_id,mode,mib,page_size,pages,setup_ns,touch_ns,minflt,majflt,resident_before,resident_after,checksum,fadvise_rc,cold_verified,external_wall_ns
b01-p1,anon-first,32,4096,8192,37543,7766355,8192,0,0,8192,1048576,0,0,11838323
b01-p2,anon-refault,32,4096,8192,9460522,2838232,8192,0,0,8192,0,0,0,14699613
b01-p3,file-warm,32,4096,8192,18467030,432814,512,0,8192,8192,57344,0,0,21539679
b01-p4,file-cold,32,4096,8192,17772906,4624494803,0,8192,0,8192,57344,0,1,4648238986
b02-p1,anon-refault,32,4096,8192,10263371,2840665,8192,0,0,8192,0,0,0,15462529
b02-p2,file-warm,32,4096,8192,24605485,419752,512,0,8192,8192,57344,0,0,27562180
b02-p3,file-cold,32,4096,8192,21375047,4630931678,0,8192,0,8192,57344,0,1,4658653908
b02-p4,anon-first,32,4096,8192,39859,8714330,8192,0,0,8192,1048576,0,0,13090626
b03-p1,file-warm,32,4096,8192,47579552,431536,512,0,8192,8192,57344,0,0,50657812
b03-p2,file-cold,32,4096,8192,34355339,4629593030,0,8192,0,8192,57344,0,1,4670398430
b03-p3,anon-first,32,4096,8192,41940,9161587,8192,0,0,8192,1048576,0,0,13493171
b03-p4,anon-refault,32,4096,8192,10365547,2834433,8192,0,0,8192,0,0,0,15639118
b04-p1,file-cold,32,4096,8192,35542152,4629627108,0,8192,0,8192,57344,0,1,4671807108
b04-p2,anon-first,32,4096,8192,38556,9313856,8192,0,0,8192,1048576,0,0,13804106
b04-p3,anon-refault,32,4096,8192,10799879,2823500,8192,0,0,8192,0,0,0,16028743
b04-p4,file-warm,32,4096,8192,23684708,420620,512,0,8192,8192,57344,0,0,26795895
b05-p1,file-cold,32,4096,8192,21681115,4632770838,0,8192,0,8192,57344,0,1,4661350680
b05-p2,file-warm,32,4096,8192,38211820,428440,512,0,8192,8192,57344,0,0,41262620
b05-p3,anon-refault,32,4096,8192,11581381,2842368,8192,0,0,8192,0,0,0,16866534
b05-p4,anon-first,32,4096,8192,36923,8742977,8192,0,0,8192,1048576,0,0,12967841
b06-p1,anon-first,32,4096,8192,38320,8822504,8192,0,0,8192,1048576,0,0,13185034
b06-p2,file-cold,32,4096,8192,18831055,4629666112,0,8192,0,8192,57344,0,1,4655428090
b06-p3,file-warm,32,4096,8192,36970437,430902,512,0,8192,8192,57344,0,0,40129207
b06-p4,anon-refault,32,4096,8192,11760003,2895152,8192,0,0,8192,0,0,0,17077596
b07-p1,anon-refault,32,4096,8192,10894367,2902666,8192,0,0,8192,0,0,0,16198698
b07-p2,anon-first,32,4096,8192,35497,8845468,8192,0,0,8192,1048576,0,0,13186604
b07-p3,file-cold,32,4096,8192,22904467,4635898092,0,8192,0,8192,57344,0,1,4665626297
b07-p4,file-warm,32,4096,8192,38491485,428126,512,0,8192,8192,57344,0,0,41634751
b08-p1,file-warm,32,4096,8192,39010308,417828,512,0,8192,8192,57344,0,0,42142220
b08-p2,anon-refault,32,4096,8192,11695229,2836059,8192,0,0,8192,0,0,0,16892770
b08-p3,anon-first,32,4096,8192,34171,8697369,8192,0,0,8192,1048576,0,0,13038937
b08-p4,file-cold,32,4096,8192,23744481,4629681317,0,8192,0,8192,57344,0,1,4660331970
