run_id,mode,mib,page_size,pages,setup_ns,touch_ns,minflt,majflt,resident_before,resident_after,checksum,fadvise_rc,cold_verified,external_wall_ns
b01-p1,anon-first,32,4096,8192,90380,14872539,8192,0,0,8192,1048576,0,0,20174650
b01-p2,anon-refault,32,4096,8192,16018969,6892819,8192,0,0,8192,0,0,0,26623004
b01-p3,file-warm,32,4096,8192,22647569,1310880,512,0,8192,8192,57344,0,0,27521299
b01-p4,file-cold,32,4096,8192,23788098,4723014019,0,8192,0,8192,57344,0,1,4754626007
b02-p1,anon-refault,32,4096,8192,17210439,6865070,8192,0,0,8192,0,0,0,27920561
b02-p2,file-warm,32,4096,8192,22946828,1289400,512,0,8192,8192,57344,0,0,27595760
b02-p3,file-cold,32,4096,8192,15652789,4723804959,0,8192,0,8192,57344,0,1,4747605483
b02-p4,anon-first,32,4096,8192,85520,15158810,8192,0,0,8192,1048576,0,0,20029409
b03-p1,file-warm,32,4096,8192,13325760,1238650,512,0,8192,8192,57344,0,0,18171222
b03-p2,file-cold,32,4096,8192,14588849,4722912138,0,8192,0,8192,57344,0,1,4744746432
b03-p3,anon-first,32,4096,8192,84860,15565759,8192,0,0,8192,1048576,0,0,20344940
b03-p4,anon-refault,32,4096,8192,17062919,6881279,8192,0,0,8192,0,0,0,27810000
b04-p1,file-cold,32,4096,8192,35136527,4770507826,0,8192,0,8192,57344,0,1,4813656760
b04-p2,anon-first,32,4096,8192,78900,15702389,8192,0,0,8192,1048576,0,0,20726141
b04-p3,anon-refault,32,4096,8192,16734869,6883339,8192,0,0,8192,0,0,0,26590555
b04-p4,file-warm,32,4096,8192,20222649,1275720,512,0,8192,8192,57344,0,0,24800169
b05-p1,file-cold,32,4096,8192,20870479,4742106517,0,8192,0,8192,57344,0,1,4770114363
b05-p2,file-warm,32,4096,8192,34872408,1466990,512,0,8192,8192,57344,0,0,39500446
b05-p3,anon-refault,32,4096,8192,17249249,6847229,8192,0,0,8192,0,0,0,27280638
b05-p4,anon-first,32,4096,8192,78140,14818770,8192,0,0,8192,1048576,0,0,19828758
b06-p1,anon-first,32,4096,8192,71610,14445029,8192,0,0,8192,1048576,0,0,19982828
b06-p2,file-cold,32,4096,8192,22940959,4721164478,0,8192,0,8192,57344,0,1,4751329409
b06-p3,file-warm,32,4096,8192,48826937,1530570,512,0,8192,8192,57344,0,0,53381940
b06-p4,anon-refault,32,4096,8192,17177529,6877160,8192,0,0,8192,0,0,0,27454248
b07-p1,anon-refault,32,4096,8192,16623209,7084959,8192,0,0,8192,0,0,0,26969458
b07-p2,anon-first,32,4096,8192,68749,14504590,8192,0,0,8192,1048576,0,0,19540026
b07-p3,file-cold,32,4096,8192,22114258,4717707519,0,8192,0,8192,57344,0,1,4747032501
b07-p4,file-warm,32,4096,8192,37709537,1418880,512,0,8192,8192,57344,0,0,42978689
b08-p1,file-warm,32,4096,8192,36590778,1387270,512,0,8192,8192,57344,0,0,41655014
b08-p2,anon-refault,32,4096,8192,17026619,6900459,8192,0,0,8192,0,0,0,26913905
b08-p3,anon-first,32,4096,8192,71150,14414730,8192,0,0,8192,1048576,0,0,19478306
b08-p4,file-cold,32,4096,8192,14390070,4722590488,0,8192,0,8192,57344,0,1,4745002847
