run_id	block	position	mode	variant	n	leading_dimension	tile_edge	recursive_leaf_elements	condition_bytes	source_commit	source_virtual_base	destination_virtual_base	source_mod64	destination_mod64	source_page_offset	destination_page_offset	setup_ns	kernel_ns	verify_ns	checksum	expected_checksum	external_wall_ns
b01-p1	1	1	pow2-naive	naive	2048	2048	32	1024	134217728	053e8f4d269e93276020a7937587762303e0104b	281473467211792	281473433653264	16	16	16	16	67971654	19940980	22562451	635374141440	635374141440	129757354
b01-p2	1	2	pow2-tiled	tiled	2048	2048	32	1024	134217728	053e8f4d269e93276020a7937587762303e0104b	281473624645648	281473591087120	16	16	16	16	62506166	8762910	22110697	635374141440	635374141440	112585098
b01-p3	1	3	pow2-recursive	recursive	2048	2048	32	1024	134217728	053e8f4d269e93276020a7937587762303e0104b	281473659695120	281473626136592	16	16	16	16	62461702	9725792	22786624	635374141440	635374141440	114301985
b01-p4	1	4	padded-naive	naive	2048	2049	32	1024	134217728	053e8f4d269e93276020a7937587762303e0104b	281473116172304	281473082597392	16	16	16	16	62775003	7274449	14862851	635374141440	635374141440	104097963
b01-p5	1	5	padded-tiled	tiled	2048	2049	32	1024	134217728	053e8f4d269e93276020a7937587762303e0104b	281473309499408	281473275924496	16	16	16	16	62576145	6584585	14405129	635374141440	635374141440	102425981
b01-p6	1	6	padded-recursive	recursive	2048	2049	32	1024	134217728	053e8f4d269e93276020a7937587762303e0104b	281472847773712	281472814198800	16	16	16	16	62668308	6197620	14806836	635374141440	635374141440	102387981
b02-p1	2	1	pow2-tiled	tiled	2048	2048	32	1024	134217728	053e8f4d269e93276020a7937587762303e0104b	281473192505360	281473158946832	16	16	16	16	62333560	8707216	22619347	635374141440	635374141440	112943805
b02-p2	2	2	pow2-recursive	recursive	2048	2048	32	1024	134217728	053e8f4d269e93276020a7937587762303e0104b	281473353072656	281473319514128	16	16	16	16	62806260	9919668	22758003	635374141440	635374141440	115415237
b02-p3	2	3	padded-naive	naive	2048	2049	32	1024	134217728	053e8f4d269e93276020a7937587762303e0104b	281473401143312	281473367568400	16	16	16	16	63505190	7284863	14755443	635374141440	635374141440	104645228
b02-p4	2	4	padded-tiled	tiled	2048	2049	32	1024	134217728	053e8f4d269e93276020a7937587762303e0104b	281472810582032	281472777007120	16	16	16	16	62651766	6565614	14446158	635374141440	635374141440	102778176
b02-p5	2	5	padded-recursive	recursive	2048	2049	32	1024	134217728	053e8f4d269e93276020a7937587762303e0104b	281473152749584	281473119174672	16	16	16	16	62750345	6232455	14701937	635374141440	635374141440	102407042
