run_id	block	position	mode	variant	n	leading_dimension	tile_edge	recursive_leaf_elements	condition_bytes	source_commit	source_virtual_base	destination_virtual_base	source_mod64	destination_mod64	source_page_offset	destination_page_offset	setup_ns	kernel_ns	verify_ns	checksum	expected_checksum	external_wall_ns
b01-p1	1	1	pow2-naive	naive	2048	2048	32	1024	134217728	053e8f4d269e93276020a7937587762303e0104b	139855724015632	139855690457104	16	16	16	16	97239103	30703287	23085593	635374141440	635374141440	170056598
b01-p2	1	2	pow2-tiled	tiled	2048	2048	32	1024	134217728	053e8f4d269e93276020a7937587762303e0104b	140366890135568	140366856577040	16	16	16	16	93579684	14088257	22565851	635374141440	635374141440	148930003
b01-p3	1	3	pow2-recursive	recursive	2048	2048	32	1024	134217728	053e8f4d269e93276020a7937587762303e0104b	139813913096208	139813879537680	16	16	16	16	91375942	14884620	22988754	635374141440	635374141440	148032648
b01-p4	1	4	padded-naive	naive	2048	2049	32	1024	134217728	053e8f4d269e93276020a7937587762303e0104b	140671839088656	140671805513744	16	16	16	16	93050222	10046894	16755751	635374141440	635374141440	138352926
b01-p5	1	5	padded-tiled	tiled	2048	2049	32	1024	134217728	053e8f4d269e93276020a7937587762303e0104b	140027306684432	140027273109520	16	16	16	16	91392203	10019054	14954210	635374141440	635374141440	134921807
b01-p6	1	6	padded-recursive	recursive	2048	2049	32	1024	134217728	053e8f4d269e93276020a7937587762303e0104b	139921752829968	139921719255056	16	16	16	16	91562154	9773363	15903247	635374141440	635374141440	135889194
b02-p1	2	1	pow2-tiled	tiled	2048	2048	32	1024	134217728	053e8f4d269e93276020a7937587762303e0104b	140508902977552	140508869419024	16	16	16	16	91405384	14108005	22674403	635374141440	635374141440	146806632
b02-p2	2	2	pow2-recursive	recursive	2048	2048	32	1024	134217728	053e8f4d269e93276020a7937587762303e0104b	140397042987024	140397009428496	16	16	16	16	91879645	14653769	22783912	635374141440	635374141440	148340120
b02-p3	2	3	padded-naive	naive	2048	2049	32	1024	134217728	053e8f4d269e93276020a7937587762303e0104b	140454756593680	140454723018768	16	16	16	16	93100031	10132275	15386643	635374141440	635374141440	137421710
b02-p4	2	4	padded-tiled	tiled	2048	2049	32	1024	134217728	053e8f4d269e93276020a7937587762303e0104b	139989560045584	139989526470672	16	16	16	16	91939366	10020224	15170602	635374141440	635374141440	136095035
b02-p5	2	5	padded-recursive	recursive	2048	2049	32	1024	134217728	053e8f4d269e93276020a7937587762303e0104b	140671843282960	140671809708048	16	16	16	16	93500853	10311917	16372067	635374141440	635374141440	139355711
b02-p6	2	6	pow2-naive	naive	2048	2048	32	1024	134217728	053e8f4d269e93276020a7937587762303e0104b	140177070616592	140177037058064	16	16	16	16	92125537	30786807	22683072	635374141440	635374141440	164469887
b03-p1	3	1	pow2-recursive	recursive	2048	2048	32	1024	134217728	053e8f4d269e93276020a7937587762303e0104b	140015466180624	140015432622096	16	16	16	16	92214188	14884940	22566702	635374141440	635374141440	148312921
b03-p2	3	2	padded-naive	naive	2048	2049	32	1024	134217728	053e8f4d269e93276020a7937587762303e0104b	140352235221008	140352201646096	16	16	16	16	92677590	9999094	16609009	635374141440	635374141440	138060015
b03-p3	3	3	padded-tiled	tiled	2048	2049	32	1024	134217728	053e8f4d269e93276020a7937587762303e0104b	139993362182160	139993328607248	16	16	16	16	92140716	10020975	15219522	635374141440	635374141440	136843957
b03-p4	3	4	padded-recursive	recursive	2048	2049	32	1024	134217728	053e8f4d269e93276020a7937587762303e0104b	140444197433360	140444163858448	16	16	16	16	93327364	9821553	16243097	635374141440	635374141440	138344997
b03-p5	3	5	pow2-naive	naive	2048	2048	32	1024	134217728	053e8f4d269e93276020a7937587762303e0104b	140238869491728	140238835933200	16	16	16	16	91765395	30716965	22760023	635374141440	635374141440	164101355
b03-p6	3	6	pow2-tiled	tiled	2048	2048	32	1024	134217728	053e8f4d269e93276020a7937587762303e0104b	140330743623696	140330710065168	16	16	16	16	93052052	14193677	22741182	635374141440	635374141440	148916814
b04-p1	4	1	padded-naive	naive	2048	2049	32	1024	134217728	053e8f4d269e93276020a7937587762303e0104b	140586208178192	140586174603280	16	16	16	16	91958646	9985174	16719030	635374141440	635374141440	137220329
b04-p2	4	2	padded-tiled	tiled	2048	2049	32	1024	134217728	053e8f4d269e93276020a7937587762303e0104b	139901251072016	139901217497104	16	16	16	16	92072247	9995193	14372167	635374141440	635374141440	135063949
b04-p3	4	3	padded-recursive	recursive	2048	2049	32	1024	134217728	053e8f4d269e93276020a7937587762303e0104b	139636535963664	139636502388752	16	16	16	16	92598500	9799963	15623754	635374141440	635374141440	136857557
b04-p4	4	4	pow2-naive	naive	2048	2048	32	1024	134217728	053e8f4d269e93276020a7937587762303e0104b	140535702482960	140535668924432	16	16	16	16	91974556	30788907	22784112	635374141440	635374141440	165526083
b04-p5	4	5	pow2-tiled	tiled	2048	2048	32	1024	134217728	053e8f4d269e93276020a7937587762303e0104b	139871056293904	139871022735376	16	16	16	16	93681726	14157997	22644142	635374141440	635374141440	149390576
b04-p6	4	6	pow2-recursive	recursive	2048	2048	32	1024	134217728	053e8f4d269e93276020a7937587762303e0104b	139932184080400	139932150521872	16	16	16	16	92823791	14755179	22930774	635374141440	635374141440	149622837
b05-p1	5	1	padded-tiled	tiled	2048	2049	32	1024	134217728	053e8f4d269e93276020a7937587762303e0104b	140663800705040	140663767130128	16	16	16	16	92900672	10105724	15402363	635374141440	635374141440	137490652
b05-p2	5	2	padded-recursive	recursive	2048	2049	32	1024	134217728	053e8f4d269e93276020a7937587762303e0104b	139959090524176	139959056949264	16	16	16	16	92413917	9779864	15977376	635374141440	635374141440	137076938
b05-p3	5	3	pow2-naive	naive	2048	2048	32	1024	134217728	053e8f4d269e93276020a7937587762303e0104b	139778202791952	139778169233424	16	16	16	16	92264578	30650526	22715032	635374141440	635374141440	165008610
b05-p4	5	4	pow2-tiled	tiled	2048	2048	32	1024	134217728	053e8f4d269e93276020a7937587762303e0104b	140339662811152	140339629252624	16	16	16	16	92454899	14053795	22573983	635374141440	635374141440	148678242
b05-p5	5	5	pow2-recursive	recursive	2048	2048	32	1024	134217728	053e8f4d269e93276020a7937587762303e0104b	140601997651984	140601964093456	16	16	16	16	92592809	14733859	22671513	635374141440	635374141440	149335736
b05-p6	5	6	padded-naive	naive	2048	2049	32	1024	134217728	053e8f4d269e93276020a7937587762303e0104b	139799902007312	139799868432400	16	16	16	16	93893876	10072434	16707750	635374141440	635374141440	139522862
b06-p1	6	1	padded-recursive	recursive	2048	2049	32	1024	134217728	053e8f4d269e93276020a7937587762303e0104b	139938024632336	139937991057424	16	16	16	16	92616699	10030064	16528780	635374141440	635374141440	138446517
b06-p2	6	2	pow2-naive	naive	2048	2048	32	1024	134217728	053e8f4d269e93276020a7937587762303e0104b	140255877394448	140255843835920	16	16	16	16	93102332	30850196	22596642	635374141440	635374141440	166614438
b06-p3	6	3	pow2-tiled	tiled	2048	2048	32	1024	134217728	053e8f4d269e93276020a7937587762303e0104b	140534481940496	140534448381968	16	16	16	16	92612310	14124306	22641453	635374141440	635374141440	148363711
