run_id	comparison	pair	position	order	mode	variant	input_bytes	passes	chunk_bytes	source_commit	input_checksum	expected_per_pass	checksum	expected_checksum	setup_ns	steady_ns	verify_ns	external_wall_ns
scalar_simd-p01-1	scalar-vs-simd	1	1	ab	scalar_whole	scalar	67108864	8	256	8301b344287c674f559dbbd22718a7c6cd49921d	8556834064	262560	2100480	2100480	125399047	160796431	300	295633183
scalar_simd-p01-2	scalar-vs-simd	1	2	ab	simd_whole	avx2	67108864	8	256	8301b344287c674f559dbbd22718a7c6cd49921d	8556834064	262560	2100480	2100480	123028107	26716529	680	159422053
scalar_simd-p02-1	scalar-vs-simd	2	1	ba	simd_whole	avx2	67108864	8	256	8301b344287c674f559dbbd22718a7c6cd49921d	8556834064	262560	2100480	2100480	122737714	26717560	250	159203402
scalar_simd-p02-2	scalar-vs-simd	2	2	ba	scalar_whole	scalar	67108864	8	256	8301b344287c674f559dbbd22718a7c6cd49921d	8556834064	262560	2100480	2100480	122851355	160822750	750	293936106
scalar_simd-p03-1	scalar-vs-simd	3	1	ab	scalar_whole	scalar	67108864	8	256	8301b344287c674f559dbbd22718a7c6cd49921d	8556834064	262560	2100480	2100480	122854025	160962280	640	293323142
scalar_simd-p03-2	scalar-vs-simd	3	2	ab	simd_whole	avx2	67108864	8	256	8301b344287c674f559dbbd22718a7c6cd49921d	8556834064	262560	2100480	2100480	123180397	26707169	250	159535193
scalar_simd-p04-1	scalar-vs-simd	4	1	ba	simd_whole	avx2	67108864	8	256	8301b344287c674f559dbbd22718a7c6cd49921d	8556834064	262560	2100480	2100480	122851156	26715949	430	159077550
scalar_simd-p04-2	scalar-vs-simd	4	2	ba	scalar_whole	scalar	67108864	8	256	8301b344287c674f559dbbd22718a7c6cd49921d	8556834064	262560	2100480	2100480	122822295	160908501	330	293590034
scalar_simd-p05-1	scalar-vs-simd	5	1	ab	scalar_whole	scalar	67108864	8	256	8301b344287c674f559dbbd22718a7c6cd49921d	8556834064	262560	2100480	2100480	123273598	160646149	610	293541453
scalar_simd-p05-2	scalar-vs-simd	5	2	ab	simd_whole	avx2	67108864	8	256	8301b344287c674f559dbbd22718a7c6cd49921d	8556834064	262560	2100480	2100480	122824526	26709099	610	159249853
scalar_simd-p06-1	scalar-vs-simd	6	1	ba	simd_whole	avx2	67108864	8	256	8301b344287c674f559dbbd22718a7c6cd49921d	8556834064	262560	2100480	2100480	122427283	26715290	290	158680318
scalar_simd-p06-2	scalar-vs-simd	6	2	ba	scalar_whole	scalar	67108864	8	256	8301b344287c674f559dbbd22718a7c6cd49921d	8556834064	262560	2100480	2100480	122570015	160947881	50	293489723
scalar_simd-p07-1	scalar-vs-simd	7	1	ab	scalar_whole	scalar	67108864	8	256	8301b344287c674f559dbbd22718a7c6cd49921d	8556834064	262560	2100480	2100480	122793255	160742400	610	292974600
scalar_simd-p07-2	scalar-vs-simd	7	2	ab	simd_whole	avx2	67108864	8	256	8301b344287c674f559dbbd22718a7c6cd49921d	8556834064	262560	2100480	2100480	121208218	26727209	640	157530594
scalar_simd-p08-1	scalar-vs-simd	8	1	ba	simd_whole	avx2	67108864	8	256	8301b344287c674f559dbbd22718a7c6cd49921d	8556834064	262560	2100480	2100480	122932486	26705259	300	160139116
scalar_simd-p08-2	scalar-vs-simd	8	2	ba	scalar_whole	scalar	67108864	8	256	8301b344287c674f559dbbd22718a7c6cd49921d	8556834064	262560	2100480	2100480	122681245	161032981	560	293434293
scalar_simd-p09-1	scalar-vs-simd	9	1	ab	scalar_whole	scalar	67108864	8	256	8301b344287c674f559dbbd22718a7c6cd49921d	8556834064	262560	2100480	2100480	122982556	160644900	510	293220172
scalar_simd-p09-2	scalar-vs-simd	9	2	ab	simd_whole	avx2	67108864	8	256	8301b344287c674f559dbbd22718a7c6cd49921d	8556834064	262560	2100480	2100480	122962696	26725139	40	159305763
scalar_simd-p10-1	scalar-vs-simd	10	1	ba	simd_whole	avx2	67108864	8	256	8301b344287c674f559dbbd22718a7c6cd49921d	8556834064	262560	2100480	2100480	122504813	26702550	250	158814899
scalar_simd-p10-2	scalar-vs-simd	10	2	ba	scalar_whole	scalar	67108864	8	256	8301b344287c674f559dbbd22718a7c6cd49921d	8556834064	262560	2100480	2100480	122597895	160641199	330	292903771
scalar_simd-p11-1	scalar-vs-simd	11	1	ab	scalar_whole	scalar	67108864	8	256	8301b344287c674f559dbbd22718a7c6cd49921d	8556834064	262560	2100480	2100480	122578864	160821131	320	293817574
scalar_simd-p11-2	scalar-vs-simd	11	2	ab	simd_whole	avx2	67108864	8	256	8301b344287c674f559dbbd22718a7c6cd49921d	8556834064	262560	2100480	2100480	123228137	26731610	410	159912225
scalar_simd-p12-1	scalar-vs-simd	12	1	ba	simd_whole	avx2	67108864	8	256	8301b344287c674f559dbbd22718a7c6cd49921d	8556834064	262560	2100480	2100480	122738355	26716409	340	159126901
scalar_simd-p12-2	scalar-vs-simd	12	2	ba	scalar_whole	scalar	67108864	8	256	8301b344287c674f559dbbd22718a7c6cd49921d	8556834064	262560	2100480	2100480	122861436	160894910	830	293198861
whole_chunks-p01-1	whole-vs-chunks	1	1	ab	dispatch_once	avx2	67108864	8	256	8301b344287c674f559dbbd22718a7c6cd49921d	8556834064	262560	2100480	2100480	122496314	26716570	1000	158637640
whole_chunks-p01-2	whole-vs-chunks	1	2	ab	cached_chunks	avx2	67108864	8	256	8301b344287c674f559dbbd22718a7c6cd49921d	8556834064	262560	2100480	2100480	121094787	29782114	680	160587499
whole_chunks-p02-1	whole-vs-chunks	2	1	ba	cached_chunks	avx2	67108864	8	256	8301b344287c674f559dbbd22718a7c6cd49921d	8556834064	262560	2100480	2100480	122639745	29757644	630	162602168
whole_chunks-p02-2	whole-vs-chunks	2	2	ba	dispatch_once	avx2	67108864	8	256	8301b344287c674f559dbbd22718a7c6cd49921d	8556834064	262560	2100480	2100480	122802495	26709940	380	158961700
whole_chunks-p03-1	whole-vs-chunks	3	1	ab	dispatch_once	avx2	67108864	8	256	8301b344287c674f559dbbd22718a7c6cd49921d	8556834064	262560	2100480	2100480	122727686	26792839	920	159095041
whole_chunks-p03-2	whole-vs-chunks	3	2	ab	cached_chunks	avx2	67108864	8	256	8301b344287c674f559dbbd22718a7c6cd49921d	8556834064	262560	2100480	2100480	122571424	29776515	750	161919876
whole_chunks-p04-1	whole-vs-chunks	4	1	ba	cached_chunks	avx2	67108864	8	256	8301b344287c674f559dbbd22718a7c6cd49921d	8556834064	262560	2100480	2100480	122450223	29769914	750	162031145
whole_chunks-p04-2	whole-vs-chunks	4	2	ba	dispatch_once	avx2	67108864	8	256	8301b344287c674f559dbbd22718a7c6cd49921d	8556834064	262560	2100480	2100480	122979996	26718639	740	159243613
