comparison,pair,order,position,mode,steady_ns,process_ns,elements,rounds,checksum
imported/local,1,AB,1,imported,7178106,12913142,1048576,32,3170936846
imported/local,1,AB,2,local,6875399,12382567,1048576,32,3170936846
imported/local,2,BA,1,local,6743835,12798801,1048576,32,3170936846
imported/local,2,BA,2,imported,6493510,12335039,1048576,32,3170936846
imported/local,3,AB,1,imported,6599797,12664543,1048576,32,3170936846
imported/local,3,AB,2,local,6520195,12397815,1048576,32,3170936846
imported/local,4,BA,1,local,7050336,12707785,1048576,32,3170936846
imported/local,4,BA,2,imported,6840898,12366402,1048576,32,3170936846
imported/local,5,AB,1,imported,6593227,12713085,1048576,32,3170936846
imported/local,5,AB,2,local,6545718,12614141,1048576,32,3170936846
imported/local,6,BA,1,local,6961262,12618526,1048576,32,3170936846
imported/local,6,BA,2,imported,6884368,12440567,1048576,32,3170936846
imported/local,7,AB,1,imported,6521856,12563125,1048576,32,3170936846
imported/local,7,AB,2,local,6575765,12422182,1048576,32,3170936846
imported/local,8,BA,1,local,6587853,12529271,1048576,32,3170936846
imported/local,8,BA,2,imported,7056182,12688694,1048576,32,3170936846
imported/local,9,AB,1,imported,6855009,12413198,1048576,32,3170936846
imported/local,9,AB,2,local,7087702,12651865,1048576,32,3170936846
imported/local,10,BA,1,local,6477177,12420412,1048576,32,3170936846
imported/local,10,BA,2,imported,6919080,13050821,1048576,32,3170936846
imported/local,11,AB,1,imported,6828949,12271135,1048576,32,3170936846
imported/local,11,AB,2,local,6983714,12635567,1048576,32,3170936846
imported/local,12,BA,1,local,6477010,12262125,1048576,32,3170936846
imported/local,12,BA,2,imported,6625709,12603137,1048576,32,3170936846
opaque/local,1,AB,1,opaque,38145165,45033321,1048576,32,3170936846
opaque/local,1,AB,2,local,6565783,12588885,1048576,32,3170936846
opaque/local,2,BA,1,local,6640487,12730558,1048576,32,3170936846
opaque/local,2,BA,2,opaque,38626076,45195661,1048576,32,3170936846
opaque/local,3,AB,1,opaque,38257896,45321200,1048576,32,3170936846
opaque/local,3,AB,2,local,7127196,12764743,1048576,32,3170936846
opaque/local,4,BA,1,local,6499918,12498876,1048576,32,3170936846
opaque/local,4,BA,2,opaque,38513557,45252851,1048576,32,3170936846
opaque/local,5,AB,1,opaque,38072772,45039337,1048576,32,3170936846
opaque/local,5,AB,2,local,6806040,12297322,1048576,32,3170936846
opaque/local,6,BA,1,local,6584325,12732141,1048576,32,3170936846
opaque/local,6,BA,2,opaque,38516365,45052287,1048576,32,3170936846
opaque/local,7,AB,1,opaque,38074124,45033979,1048576,32,3170936846
opaque/local,7,AB,2,local,7058284,12719134,1048576,32,3170936846
opaque/local,8,BA,1,local,6511423,12531928,1048576,32,3170936846
opaque/local,8,BA,2,opaque,38123311,45211865,1048576,32,3170936846
opaque/local,9,AB,1,opaque,38281342,45345700,1048576,32,3170936846
opaque/local,9,AB,2,local,6900317,12528014,1048576,32,3170936846
opaque/local,10,BA,1,local,6581315,12665617,1048576,32,3170936846
opaque/local,10,BA,2,opaque,38115344,45249308,1048576,32,3170936846
opaque/local,11,AB,1,opaque,38155575,45383272,1048576,32,3170936846
opaque/local,11,AB,2,local,6939352,12479581,1048576,32,3170936846
opaque/local,12,BA,1,local,6948440,12637466,1048576,32,3170936846
opaque/local,12,BA,2,opaque,38463043,45115082,1048576,32,3170936846
