comparison,pair,order,position,mode,steady_ns,process_ns,elements,rounds,checksum
imported/local,1,AB,1,imported,1508706,7696859,1048576,32,3170936846
imported/local,1,AB,2,local,1821327,7302309,1048576,32,3170936846
imported/local,2,BA,1,local,1517906,7265628,1048576,32,3170936846
imported/local,2,BA,2,imported,1516146,7531809,1048576,32,3170936846
imported/local,3,AB,1,imported,1514516,7451420,1048576,32,3170936846
imported/local,3,AB,2,local,1836737,7278558,1048576,32,3170936846
imported/local,4,BA,1,local,1523296,7386489,1048576,32,3170936846
imported/local,4,BA,2,imported,1527916,7473588,1048576,32,3170936846
imported/local,5,AB,1,imported,1524946,7389408,1048576,32,3170936846
imported/local,5,AB,2,local,1929627,7536389,1048576,32,3170936846
imported/local,6,BA,1,local,1520705,7414428,1048576,32,3170936846
imported/local,6,BA,2,imported,1527206,7250078,1048576,32,3170936846
imported/local,7,AB,1,imported,1558307,7605330,1048576,32,3170936846
imported/local,7,AB,2,local,2015167,7524159,1048576,32,3170936846
imported/local,8,BA,1,local,1528286,7361080,1048576,32,3170936846
imported/local,8,BA,2,imported,1519466,7190488,1048576,32,3170936846
imported/local,9,AB,1,imported,1529696,7402949,1048576,32,3170936846
imported/local,9,AB,2,local,1823697,7328339,1048576,32,3170936846
imported/local,10,BA,1,local,1520856,7310949,1048576,32,3170936846
imported/local,10,BA,2,imported,1518286,7462669,1048576,32,3170936846
imported/local,11,AB,1,imported,1525715,7394848,1048576,32,3170936846
imported/local,11,AB,2,local,1831208,7299918,1048576,32,3170936846
imported/local,12,BA,1,local,1536076,7365569,1048576,32,3170936846
imported/local,12,BA,2,imported,1520866,7545599,1048576,32,3170936846
opaque/local,1,AB,1,opaque,45611898,53131138,1048576,32,3170936846
opaque/local,1,AB,2,local,1528086,7477089,1048576,32,3170936846
opaque/local,2,BA,1,local,1950518,7471570,1048576,32,3170936846
opaque/local,2,BA,2,opaque,45593699,53046717,1048576,32,3170936846
opaque/local,3,AB,1,opaque,45635129,53150708,1048576,32,3170936846
opaque/local,3,AB,2,local,1537416,7368319,1048576,32,3170936846
opaque/local,4,BA,1,local,1524396,7253378,1048576,32,3170936846
opaque/local,4,BA,2,opaque,45688728,53200038,1048576,32,3170936846
opaque/local,5,AB,1,opaque,45962120,53154147,1048576,32,3170936846
opaque/local,5,AB,2,local,1583926,7479239,1048576,32,3170936846
opaque/local,6,BA,1,local,1530086,7263529,1048576,32,3170936846
opaque/local,6,BA,2,opaque,45660509,53066127,1048576,32,3170936846
opaque/local,7,AB,1,opaque,45541828,53089448,1048576,32,3170936846
opaque/local,7,AB,2,local,1525536,7342398,1048576,32,3170936846
opaque/local,8,BA,1,local,1526796,7312839,1048576,32,3170936846
opaque/local,8,BA,2,opaque,45682719,53097497,1048576,32,3170936846
opaque/local,9,AB,1,opaque,45505367,53060497,1048576,32,3170936846
opaque/local,9,AB,2,local,1522666,7321859,1048576,32,3170936846
opaque/local,10,BA,1,local,1520146,7272548,1048576,32,3170936846
opaque/local,10,BA,2,opaque,45943759,53008937,1048576,32,3170936846
opaque/local,11,AB,1,opaque,46106511,53270508,1048576,32,3170936846
opaque/local,11,AB,2,local,1533386,7480849,1048576,32,3170936846
opaque/local,12,BA,1,local,1512336,7199428,1048576,32,3170936846
opaque/local,12,BA,2,opaque,45917380,52939767,1048576,32,3170936846
