comparison,outcome,block,order,position,label,variant,eager,elapsed_ns,checksum,status,error
startup_eager_over_lazy,startup,0,ABBA,0,A,lazy,0,2131380,,ok,
startup_eager_over_lazy,startup,0,ABBA,1,B,same_image_eager,1,2534911,,ok,
startup_eager_over_lazy,startup,0,ABBA,2,B,same_image_eager,1,2507763,,ok,
startup_eager_over_lazy,startup,0,ABBA,3,A,lazy,0,2413569,,ok,
startup_eager_over_lazy,startup,1,BAAB,0,B,same_image_eager,1,2414967,,ok,
startup_eager_over_lazy,startup,1,BAAB,1,A,lazy,0,2150023,,ok,
startup_eager_over_lazy,startup,1,BAAB,2,A,lazy,0,2080767,,ok,
startup_eager_over_lazy,startup,1,BAAB,3,B,same_image_eager,1,2406411,,ok,
startup_eager_over_lazy,startup,2,ABBA,0,A,lazy,0,2127570,,ok,
startup_eager_over_lazy,startup,2,ABBA,1,B,same_image_eager,1,2470595,,ok,
startup_eager_over_lazy,startup,2,ABBA,2,B,same_image_eager,1,2497077,,ok,
startup_eager_over_lazy,startup,2,ABBA,3,A,lazy,0,2166845,,ok,
startup_eager_over_lazy,startup,3,BAAB,0,B,same_image_eager,1,2482165,,ok,
startup_eager_over_lazy,startup,3,BAAB,1,A,lazy,0,2127019,,ok,
startup_eager_over_lazy,startup,3,BAAB,2,A,lazy,0,2085404,,ok,
startup_eager_over_lazy,startup,3,BAAB,3,B,same_image_eager,1,2413278,,ok,
startup_eager_over_lazy,startup,4,ABBA,0,A,lazy,0,2120084,,ok,
startup_eager_over_lazy,startup,4,ABBA,1,B,same_image_eager,1,2382868,,ok,
startup_eager_over_lazy,startup,4,ABBA,2,B,same_image_eager,1,2384053,,ok,
startup_eager_over_lazy,startup,4,ABBA,3,A,lazy,0,2056413,,ok,
startup_eager_over_lazy,startup,5,BAAB,0,B,same_image_eager,1,2400900,,ok,
startup_eager_over_lazy,startup,5,BAAB,1,A,lazy,0,2110527,,ok,
startup_eager_over_lazy,startup,5,BAAB,2,A,lazy,0,2101354,,ok,
startup_eager_over_lazy,startup,5,BAAB,3,B,same_image_eager,1,2470183,,ok,
startup_eager_over_lazy,startup,6,ABBA,0,A,lazy,0,2175212,,ok,
startup_eager_over_lazy,startup,6,ABBA,1,B,same_image_eager,1,2422467,,ok,
startup_eager_over_lazy,startup,6,ABBA,2,B,same_image_eager,1,2380462,,ok,
startup_eager_over_lazy,startup,6,ABBA,3,A,lazy,0,2082225,,ok,
startup_eager_over_lazy,startup,7,BAAB,0,B,same_image_eager,1,2428487,,ok,
startup_eager_over_lazy,startup,7,BAAB,1,A,lazy,0,2084807,,ok,
startup_eager_over_lazy,startup,7,BAAB,2,A,lazy,0,2104727,,ok,
startup_eager_over_lazy,startup,7,BAAB,3,B,same_image_eager,1,2415001,,ok,
startup_eager_over_lazy,startup,8,ABBA,0,A,lazy,0,2032958,,ok,
