comparison,outcome,block,order,position,label,variant,eager,elapsed_ns,checksum,status,error
startup_eager_over_lazy,startup,0,ABBA,0,A,lazy,0,1747378,,ok,
startup_eager_over_lazy,startup,0,ABBA,1,B,same_image_eager,1,1922118,,ok,
startup_eager_over_lazy,startup,0,ABBA,2,B,same_image_eager,1,1846518,,ok,
startup_eager_over_lazy,startup,0,ABBA,3,A,lazy,0,1892778,,ok,
startup_eager_over_lazy,startup,1,BAAB,0,B,same_image_eager,1,1857858,,ok,
startup_eager_over_lazy,startup,1,BAAB,1,A,lazy,0,1652247,,ok,
startup_eager_over_lazy,startup,1,BAAB,2,A,lazy,0,1614617,,ok,
startup_eager_over_lazy,startup,1,BAAB,3,B,same_image_eager,1,1883248,,ok,
startup_eager_over_lazy,startup,2,ABBA,0,A,lazy,0,1640298,,ok,
startup_eager_over_lazy,startup,2,ABBA,1,B,same_image_eager,1,1849458,,ok,
startup_eager_over_lazy,startup,2,ABBA,2,B,same_image_eager,1,1991738,,ok,
startup_eager_over_lazy,startup,2,ABBA,3,A,lazy,0,1654237,,ok,
startup_eager_over_lazy,startup,3,BAAB,0,B,same_image_eager,1,1860277,,ok,
startup_eager_over_lazy,startup,3,BAAB,1,A,lazy,0,1640777,,ok,
startup_eager_over_lazy,startup,3,BAAB,2,A,lazy,0,1624007,,ok,
startup_eager_over_lazy,startup,3,BAAB,3,B,same_image_eager,1,1878477,,ok,
startup_eager_over_lazy,startup,4,ABBA,0,A,lazy,0,1654877,,ok,
startup_eager_over_lazy,startup,4,ABBA,1,B,same_image_eager,1,1906388,,ok,
startup_eager_over_lazy,startup,4,ABBA,2,B,same_image_eager,1,1848988,,ok,
startup_eager_over_lazy,startup,4,ABBA,3,A,lazy,0,1655556,,ok,
startup_eager_over_lazy,startup,5,BAAB,0,B,same_image_eager,1,1868968,,ok,
startup_eager_over_lazy,startup,5,BAAB,1,A,lazy,0,1712597,,ok,
startup_eager_over_lazy,startup,5,BAAB,2,A,lazy,0,1666857,,ok,
startup_eager_over_lazy,startup,5,BAAB,3,B,same_image_eager,1,1860908,,ok,
startup_eager_over_lazy,startup,6,ABBA,0,A,lazy,0,1622357,,ok,
startup_eager_over_lazy,startup,6,ABBA,1,B,same_image_eager,1,1846007,,ok,
startup_eager_over_lazy,startup,6,ABBA,2,B,same_image_eager,1,1893258,,ok,
startup_eager_over_lazy,startup,6,ABBA,3,A,lazy,0,1623856,,ok,
startup_eager_over_lazy,startup,7,BAAB,0,B,same_image_eager,1,1829238,,ok,
startup_eager_over_lazy,startup,7,BAAB,1,A,lazy,0,1634027,,ok,
startup_eager_over_lazy,startup,7,BAAB,2,A,lazy,0,1613316,,ok,
startup_eager_over_lazy,startup,7,BAAB,3,B,same_image_eager,1,2024978,,ok,
startup_eager_over_lazy,startup,8,ABBA,0,A,lazy,0,1620387,,ok,
startup_eager_over_lazy,startup,8,ABBA,1,B,same_image_eager,1,1845607,,ok,
startup_eager_over_lazy,startup,8,ABBA,2,B,same_image_eager,1,1828057,,ok,
startup_eager_over_lazy,startup,8,ABBA,3,A,lazy,0,1616507,,ok,
startup_eager_over_lazy,startup,9,BAAB,0,B,same_image_eager,1,1848157,,ok,
startup_eager_over_lazy,startup,9,BAAB,1,A,lazy,0,1622307,,ok,
startup_eager_over_lazy,startup,9,BAAB,2,A,lazy,0,1638447,,ok,
startup_eager_over_lazy,startup,9,BAAB,3,B,same_image_eager,1,1847388,,ok,
startup_eager_over_lazy,startup,10,ABBA,0,A,lazy,0,1661937,,ok,
startup_eager_over_lazy,startup,10,ABBA,1,B,same_image_eager,1,1887748,,ok,
startup_eager_over_lazy,startup,10,ABBA,2,B,same_image_eager,1,1842857,,ok,
startup_eager_over_lazy,startup,10,ABBA,3,A,lazy,0,1620637,,ok,
startup_eager_over_lazy,startup,11,BAAB,0,B,same_image_eager,1,1855088,,ok,
startup_eager_over_lazy,startup,11,BAAB,1,A,lazy,0,1617236,,ok,
startup_eager_over_lazy,startup,11,BAAB,2,A,lazy,0,1640547,,ok,
startup_eager_over_lazy,startup,11,BAAB,3,B,same_image_eager,1,1843517,,ok,
startup_aa,startup,0,ABBA,0,A,lazy,0,1631067,,ok,
startup_aa,startup,0,ABBA,1,B,lazy_b,0,1617826,,ok,
startup_aa,startup,0,ABBA,2,B,lazy_b,0,1620727,,ok,
startup_aa,startup,0,ABBA,3,A,lazy,0,1638967,,ok,
startup_aa,startup,1,BAAB,0,B,lazy_b,0,1643507,,ok,
startup_aa,startup,1,BAAB,1,A,lazy,0,1625477,,ok,
startup_aa,startup,1,BAAB,2,A,lazy,0,1631926,,ok,
startup_aa,startup,1,BAAB,3,B,lazy_b,0,1630417,,ok,
startup_aa,startup,2,ABBA,0,A,lazy,0,1613116,,ok,
startup_aa,startup,2,ABBA,1,B,lazy_b,0,2103449,,ok,
startup_aa,startup,2,ABBA,2,B,lazy_b,0,1616527,,ok,
startup_aa,startup,2,ABBA,3,A,lazy,0,1638296,,ok,
startup_aa,startup,3,BAAB,0,B,lazy_b,0,1636827,,ok,
startup_aa,startup,3,BAAB,1,A,lazy,0,1663046,,ok,
startup_aa,startup,3,BAAB,2,A,lazy,0,1649837,,ok,
startup_aa,startup,3,BAAB,3,B,lazy_b,0,1657336,,ok,
startup_aa,startup,4,ABBA,0,A,lazy,0,1608247,,ok,
startup_aa,startup,4,ABBA,1,B,lazy_b,0,1682217,,ok,
startup_aa,startup,4,ABBA,2,B,lazy_b,0,1652847,,ok,
startup_aa,startup,4,ABBA,3,A,lazy,0,1623296,,ok,
startup_aa,startup,5,BAAB,0,B,lazy_b,0,1653557,,ok,
startup_aa,startup,5,BAAB,1,A,lazy,0,1615227,,ok,
startup_aa,startup,5,BAAB,2,A,lazy,0,1648517,,ok,
startup_aa,startup,5,BAAB,3,B,lazy_b,0,1654097,,ok,
startup_aa,startup,6,ABBA,0,A,lazy,0,1626127,,ok,
startup_aa,startup,6,ABBA,1,B,lazy_b,0,1616327,,ok,
startup_aa,startup,6,ABBA,2,B,lazy_b,0,1697077,,ok,
startup_aa,startup,6,ABBA,3,A,lazy,0,1608806,,ok,
startup_aa,startup,7,BAAB,0,B,lazy_b,0,1617947,,ok,
startup_aa,startup,7,BAAB,1,A,lazy,0,1616717,,ok,
startup_aa,startup,7,BAAB,2,A,lazy,0,1617926,,ok,
startup_aa,startup,7,BAAB,3,B,lazy_b,0,1632157,,ok,
startup_aa,startup,8,ABBA,0,A,lazy,0,1613527,,ok,
