run_sequence,comparison,left,right,block,order,position,label,binary,mode,iterations,seed,elapsed_ns,process_wall_ns,checksum,status,error
0,identity-steady,baseline,baseline-copy,0,BAAB,0,B,baseline-copy,alpha,20000000,2,69671592,72135219,738344c7b84fb861,ok,
1,identity-steady,baseline,baseline-copy,0,BAAB,1,A,baseline,alpha,20000000,2,69746136,72543241,738344c7b84fb861,ok,
2,identity-steady,baseline,baseline-copy,0,BAAB,2,A,baseline,alpha,20000000,2,69680257,72289454,738344c7b84fb861,ok,
3,identity-steady,baseline,baseline-copy,0,BAAB,3,B,baseline-copy,alpha,20000000,2,69653172,72370278,738344c7b84fb861,ok,
4,alpha-trained-startup,baseline,pgo-alpha,0,ABBA,0,A,baseline,noop,0,2,0,2697977,0000000000000002,ok,
5,alpha-trained-startup,baseline,pgo-alpha,0,ABBA,1,B,pgo-alpha,noop,0,2,0,2324943,0000000000000002,ok,
6,alpha-trained-startup,baseline,pgo-alpha,0,ABBA,2,B,pgo-alpha,noop,0,2,0,2339807,0000000000000002,ok,
7,alpha-trained-startup,baseline,pgo-alpha,0,ABBA,3,A,baseline,noop,0,2,0,2334792,0000000000000002,ok,
8,identity-startup,baseline,baseline-copy,0,ABBA,0,A,baseline,noop,0,2,0,2308771,0000000000000002,ok,
9,identity-startup,baseline,baseline-copy,0,ABBA,1,B,baseline-copy,noop,0,2,0,2308748,0000000000000002,ok,
10,identity-startup,baseline,baseline-copy,0,ABBA,2,B,baseline-copy,noop,0,2,0,2319226,0000000000000002,ok,
11,identity-startup,baseline,baseline-copy,0,ABBA,3,A,baseline,noop,0,2,0,2388442,0000000000000002,ok,
12,alpha-trained-beta,baseline,pgo-alpha,0,BAAB,0,B,pgo-alpha,beta,20000000,2,70362078,72815840,45a6fabf192242a9,ok,
13,alpha-trained-beta,baseline,pgo-alpha,0,BAAB,1,A,baseline,beta,20000000,2,69687830,72490845,45a6fabf192242a9,ok,
14,alpha-trained-beta,baseline,pgo-alpha,0,BAAB,2,A,baseline,beta,20000000,2,70011825,72807347,45a6fabf192242a9,ok,
15,alpha-trained-beta,baseline,pgo-alpha,0,BAAB,3,B,pgo-alpha,beta,20000000,2,70422846,73150185,45a6fabf192242a9,ok,
16,alpha-trained-alpha,baseline,pgo-alpha,0,ABBA,0,A,baseline,alpha,20000000,2,69646681,72377693,738344c7b84fb861,ok,
17,alpha-trained-alpha,baseline,pgo-alpha,0,ABBA,1,B,pgo-alpha,alpha,20000000,2,70417666,73192013,738344c7b84fb861,ok,
18,alpha-trained-alpha,baseline,pgo-alpha,0,ABBA,2,B,pgo-alpha,alpha,20000000,2,70485326,73241525,738344c7b84fb861,ok,
19,alpha-trained-alpha,baseline,pgo-alpha,0,ABBA,3,A,baseline,alpha,20000000,2,69664790,72567058,738344c7b84fb861,ok,
20,profile-choice-beta,pgo-beta,pgo-alpha,0,BAAB,0,B,pgo-alpha,beta,20000000,2,70463516,73254723,45a6fabf192242a9,ok,
21,profile-choice-beta,pgo-beta,pgo-alpha,0,BAAB,1,A,pgo-beta,beta,20000000,2,70477517,73336168,45a6fabf192242a9,ok,
22,profile-choice-beta,pgo-beta,pgo-alpha,0,BAAB,2,A,pgo-beta,beta,20000000,2,70397102,73214730,45a6fabf192242a9,ok,
23,profile-choice-beta,pgo-beta,pgo-alpha,0,BAAB,3,B,pgo-alpha,beta,20000000,2,70423535,73194690,45a6fabf192242a9,ok,
24,profile-choice-alpha,pgo-beta,pgo-alpha,0,BAAB,0,B,pgo-alpha,alpha,20000000,2,70463939,73174724,738344c7b84fb861,ok,
25,profile-choice-alpha,pgo-beta,pgo-alpha,0,BAAB,1,A,pgo-beta,alpha,20000000,2,70434691,73242835,738344c7b84fb861,ok,
26,profile-choice-alpha,pgo-beta,pgo-alpha,0,BAAB,2,A,pgo-beta,alpha,20000000,2,70413859,73257547,738344c7b84fb861,ok,
27,profile-choice-alpha,pgo-beta,pgo-alpha,0,BAAB,3,B,pgo-alpha,alpha,20000000,2,70474361,73284749,738344c7b84fb861,ok,
28,profile-choice-alpha,pgo-beta,pgo-alpha,1,ABBA,0,A,pgo-beta,alpha,20000000,2,70446754,73200671,738344c7b84fb861,ok,
29,profile-choice-alpha,pgo-beta,pgo-alpha,1,ABBA,1,B,pgo-alpha,alpha,20000000,2,70467849,73173540,738344c7b84fb861,ok,
30,profile-choice-alpha,pgo-beta,pgo-alpha,1,ABBA,2,B,pgo-alpha,alpha,20000000,2,70462260,73201701,738344c7b84fb861,ok,
31,profile-choice-alpha,pgo-beta,pgo-alpha,1,ABBA,3,A,pgo-beta,alpha,20000000,2,70421764,73116270,738344c7b84fb861,ok,
32,identity-steady,baseline,baseline-copy,1,BAAB,0,B,baseline-copy,alpha,20000000,2,69650348,72419157,738344c7b84fb861,ok,
33,identity-steady,baseline,baseline-copy,1,BAAB,1,A,baseline,alpha,20000000,2,69634704,72395222,738344c7b84fb861,ok,
34,identity-steady,baseline,baseline-copy,1,BAAB,2,A,baseline,alpha,20000000,2,69655600,72471758,738344c7b84fb861,ok,
35,identity-steady,baseline,baseline-copy,1,BAAB,3,B,baseline-copy,alpha,20000000,2,69635113,72632859,738344c7b84fb861,ok,
36,alpha-trained-alpha,baseline,pgo-alpha,1,BAAB,0,B,pgo-alpha,alpha,20000000,2,70394644,73186815,738344c7b84fb861,ok,
37,alpha-trained-alpha,baseline,pgo-alpha,1,BAAB,1,A,baseline,alpha,20000000,2,69591254,72422737,738344c7b84fb861,ok,
38,alpha-trained-alpha,baseline,pgo-alpha,1,BAAB,2,A,baseline,alpha,20000000,2,69732460,72681619,738344c7b84fb861,ok,
39,alpha-trained-alpha,baseline,pgo-alpha,1,BAAB,3,B,pgo-alpha,alpha,20000000,2,70473192,73442442,738344c7b84fb861,ok,
40,alpha-trained-beta,baseline,pgo-alpha,1,BAAB,0,B,pgo-alpha,beta,20000000,2,70433171,73287036,45a6fabf192242a9,ok,
41,alpha-trained-beta,baseline,pgo-alpha,1,BAAB,1,A,baseline,beta,20000000,2,69650021,72461745,45a6fabf192242a9,ok,
42,alpha-trained-beta,baseline,pgo-alpha,1,BAAB,2,A,baseline,beta,20000000,2,69640844,72407288,45a6fabf192242a9,ok,
43,alpha-trained-beta,baseline,pgo-alpha,1,BAAB,3,B,pgo-alpha,beta,20000000,2,70407473,73122748,45a6fabf192242a9,ok,
44,profile-choice-beta,pgo-beta,pgo-alpha,1,BAAB,0,B,pgo-alpha,beta,20000000,2,70415402,73121184,45a6fabf192242a9,ok,
45,profile-choice-beta,pgo-beta,pgo-alpha,1,BAAB,1,A,pgo-beta,beta,20000000,2,70454783,73187287,45a6fabf192242a9,ok,
46,profile-choice-beta,pgo-beta,pgo-alpha,1,BAAB,2,A,pgo-beta,beta,20000000,2,70470595,73262554,45a6fabf192242a9,ok,
47,profile-choice-beta,pgo-beta,pgo-alpha,1,BAAB,3,B,pgo-alpha,beta,20000000,2,70422269,73248030,45a6fabf192242a9,ok,
48,identity-startup,baseline,baseline-copy,1,BAAB,0,B,baseline-copy,noop,0,2,0,2788879,0000000000000002,ok,
49,identity-startup,baseline,baseline-copy,1,BAAB,1,A,baseline,noop,0,2,0,2495528,0000000000000002,ok,
50,identity-startup,baseline,baseline-copy,1,BAAB,2,A,baseline,noop,0,2,0,2391725,0000000000000002,ok,
51,identity-startup,baseline,baseline-copy,1,BAAB,3,B,baseline-copy,noop,0,2,0,2454575,0000000000000002,ok,
52,alpha-trained-startup,baseline,pgo-alpha,1,BAAB,0,B,pgo-alpha,noop,0,2,0,2385561,0000000000000002,ok,
53,alpha-trained-startup,baseline,pgo-alpha,1,BAAB,1,A,baseline,noop,0,2,0,2318517,0000000000000002,ok,
54,alpha-trained-startup,baseline,pgo-alpha,1,BAAB,2,A,baseline,noop,0,2,0,2337421,0000000000000002,ok,
55,alpha-trained-startup,baseline,pgo-alpha,1,BAAB,3,B,pgo-alpha,noop,0,2,0,2378963,0000000000000002,ok,
56,alpha-trained-startup,baseline,pgo-alpha,2,ABBA,0,A,baseline,noop,0,2,0,2297467,0000000000000002,ok,
57,alpha-trained-startup,baseline,pgo-alpha,2,ABBA,1,B,pgo-alpha,noop,0,2,0,2273671,0000000000000002,ok,
58,alpha-trained-startup,baseline,pgo-alpha,2,ABBA,2,B,pgo-alpha,noop,0,2,0,2338475,0000000000000002,ok,
59,alpha-trained-startup,baseline,pgo-alpha,2,ABBA,3,A,baseline,noop,0,2,0,2286314,0000000000000002,ok,
60,profile-choice-alpha,pgo-beta,pgo-alpha,2,BAAB,0,B,pgo-alpha,alpha,20000000,2,70533217,72982901,738344c7b84fb861,ok,
61,profile-choice-alpha,pgo-beta,pgo-alpha,2,BAAB,1,A,pgo-beta,alpha,20000000,2,70939311,73775510,738344c7b84fb861,ok,
62,profile-choice-alpha,pgo-beta,pgo-alpha,2,BAAB,2,A,pgo-beta,alpha,20000000,2,70376407,73134697,738344c7b84fb861,ok,
63,profile-choice-alpha,pgo-beta,pgo-alpha,2,BAAB,3,B,pgo-alpha,alpha,20000000,2,70475551,73186624,738344c7b84fb861,ok,
64,alpha-trained-alpha,baseline,pgo-alpha,2,BAAB,0,B,pgo-alpha,alpha,20000000,2,70465734,73198474,738344c7b84fb861,ok,
65,alpha-trained-alpha,baseline,pgo-alpha,2,BAAB,1,A,baseline,alpha,20000000,2,69653741,72482413,738344c7b84fb861,ok,
