comparison,left,right,ratio_direction,mode,metric,blocks,geometric_mean_ratio,log_ratio_sd,t95_low_ratio,t95_high_ratio,lag1_log_ratio_correlation
identity-steady,baseline,baseline-copy,right_over_left,alpha,steady,12,0.9995613304815835,0.0009349960486313965,0.9989676993234153,1.0001553144018602,-0.6058767056840767
identity-steady,baseline,baseline-copy,right_over_left,alpha,process_wall,12,1.0000274140061103,0.0021733924705365803,0.9986474215961839,1.0014093133743989,-0.5140049033359781
identity-startup,baseline,baseline-copy,right_over_left,noop,process_wall,12,1.0078914525858402,0.051065464540291525,0.9757147809070765,1.0411292316912646,-0.7101808347331773
alpha-trained-alpha,baseline,pgo-alpha,right_over_left,alpha,steady,12,1.0118664807600726,0.0014024937173689313,1.0109652062096788,1.012768558795898,-0.27515497067502565
alpha-trained-alpha,baseline,pgo-alpha,right_over_left,alpha,process_wall,12,1.0113727358717441,0.0029316700019460604,1.009490611281924,1.0132583695511308,-0.1322097727489076
alpha-trained-beta,baseline,pgo-alpha,right_over_left,beta,steady,12,1.0107699559970187,0.0020313591352033125,1.0094662331936053,1.012075362554769,-0.004783519537562268
alpha-trained-beta,baseline,pgo-alpha,right_over_left,beta,process_wall,12,1.009710133562784,0.003574512451993075,1.0074195459317523,1.0120059293434063,0.11592139970873643
profile-choice-alpha,pgo-beta,pgo-alpha,right_over_left,alpha,steady,12,1.001267973225198,0.0036625431076072372,0.9989406628203863,1.0036007057475806,0.05155830025424175
profile-choice-alpha,pgo-beta,pgo-alpha,right_over_left,alpha,process_wall,12,1.000670825684516,0.00321237684035961,0.998630492693557,1.00271532734321,-0.11491620740197399
profile-choice-beta,pgo-beta,pgo-alpha,right_over_left,beta,steady,12,0.9993544000773548,0.0010781241854088545,0.9986700693538585,1.0000391997330373,-0.4329593111207088
profile-choice-beta,pgo-beta,pgo-alpha,right_over_left,beta,process_wall,12,0.9993156919264188,0.0010990181957796967,0.9986181305462414,1.0000137405718124,-0.005189626824867522
alpha-trained-startup,baseline,pgo-alpha,right_over_left,noop,process_wall,12,1.007987686112823,0.04934658400840934,0.976874228123803,1.0400921081790648,-0.2773629724588025
