run_sequence,comparison,left,right,block,order,position,label,binary,mode,iterations,seed,elapsed_ns,process_wall_ns,checksum,status,error
0,identity-steady,baseline,baseline-copy,0,BAAB,0,B,baseline-copy,alpha,20000000,2,48806987,50967276,738344c7b84fb861,ok,
1,identity-steady,baseline,baseline-copy,0,BAAB,1,A,baseline,alpha,20000000,2,49004980,51630421,738344c7b84fb861,ok,
2,identity-steady,baseline,baseline-copy,0,BAAB,2,A,baseline,alpha,20000000,2,48853188,51472549,738344c7b84fb861,ok,
3,identity-steady,baseline,baseline-copy,0,BAAB,3,B,baseline-copy,alpha,20000000,2,48876929,51572161,738344c7b84fb861,ok,
4,alpha-trained-startup,baseline,pgo-alpha,0,ABBA,0,A,baseline,noop,0,2,0,2502631,0000000000000002,ok,
5,alpha-trained-startup,baseline,pgo-alpha,0,ABBA,1,B,pgo-alpha,noop,0,2,0,2038619,0000000000000002,ok,
6,alpha-trained-startup,baseline,pgo-alpha,0,ABBA,2,B,pgo-alpha,noop,0,2,0,1982648,0000000000000002,ok,
7,alpha-trained-startup,baseline,pgo-alpha,0,ABBA,3,A,baseline,noop,0,2,0,2010549,0000000000000002,ok,
8,identity-startup,baseline,baseline-copy,0,ABBA,0,A,baseline,noop,0,2,0,1943299,0000000000000002,ok,
9,identity-startup,baseline,baseline-copy,0,ABBA,1,B,baseline-copy,noop,0,2,0,1942638,0000000000000002,ok,
10,identity-startup,baseline,baseline-copy,0,ABBA,2,B,baseline-copy,noop,0,2,0,1986368,0000000000000002,ok,
11,identity-startup,baseline,baseline-copy,0,ABBA,3,A,baseline,noop,0,2,0,1993099,0000000000000002,ok,
12,alpha-trained-beta,baseline,pgo-alpha,0,BAAB,0,B,pgo-alpha,beta,20000000,2,54286592,56547062,45a6fabf192242a9,ok,
13,alpha-trained-beta,baseline,pgo-alpha,0,BAAB,1,A,baseline,beta,20000000,2,48801367,51427698,45a6fabf192242a9,ok,
14,alpha-trained-beta,baseline,pgo-alpha,0,BAAB,2,A,baseline,beta,20000000,2,49223450,51804722,45a6fabf192242a9,ok,
15,alpha-trained-beta,baseline,pgo-alpha,0,BAAB,3,B,pgo-alpha,beta,20000000,2,54267291,56938642,45a6fabf192242a9,ok,
16,alpha-trained-alpha,baseline,pgo-alpha,0,ABBA,0,A,baseline,alpha,20000000,2,48815339,51465990,738344c7b84fb861,ok,
17,alpha-trained-alpha,baseline,pgo-alpha,0,ABBA,1,B,pgo-alpha,alpha,20000000,2,54328710,56921962,738344c7b84fb861,ok,
18,alpha-trained-alpha,baseline,pgo-alpha,0,ABBA,2,B,pgo-alpha,alpha,20000000,2,54287991,56829722,738344c7b84fb861,ok,
19,alpha-trained-alpha,baseline,pgo-alpha,0,ABBA,3,A,baseline,alpha,20000000,2,48802029,51390920,738344c7b84fb861,ok,
20,profile-choice-beta,pgo-beta,pgo-alpha,0,BAAB,0,B,pgo-alpha,beta,20000000,2,59751054,62387655,45a6fabf192242a9,ok,
21,profile-choice-beta,pgo-beta,pgo-alpha,0,BAAB,1,A,pgo-beta,beta,20000000,2,54276712,56940953,45a6fabf192242a9,ok,
22,profile-choice-beta,pgo-beta,pgo-alpha,0,BAAB,2,A,pgo-beta,beta,20000000,2,54319661,56933712,45a6fabf192242a9,ok,
23,profile-choice-beta,pgo-beta,pgo-alpha,0,BAAB,3,B,pgo-alpha,beta,20000000,2,54288891,56922102,45a6fabf192242a9,ok,
24,profile-choice-alpha,pgo-beta,pgo-alpha,0,BAAB,0,B,pgo-alpha,alpha,20000000,2,54297733,56921854,738344c7b84fb861,ok,
25,profile-choice-alpha,pgo-beta,pgo-alpha,0,BAAB,1,A,pgo-beta,alpha,20000000,2,59714564,62359795,738344c7b84fb861,ok,
