comparison,left,right,ratio_direction,mode,metric,blocks,geometric_mean_ratio,log_ratio_sd,t95_low_ratio,t95_high_ratio,lag1_log_ratio_correlation
identity-steady,baseline,baseline-copy,right_over_left,alpha,steady,12,0.99982278309304,0.001696700860813356,0.9987455226865992,1.000901205447101,-0.21760679181029463
identity-steady,baseline,baseline-copy,right_over_left,alpha,process_wall,12,1.000391646184839,0.003022402684164397,0.9984723945815271,1.0023145869504522,-0.02838776209201048
identity-startup,baseline,baseline-copy,right_over_left,noop,process_wall,12,0.9896220297353081,0.09758409752014092,0.9301269749787281,1.0529226525871145,-0.5443492754350197
alpha-trained-alpha,baseline,pgo-alpha,right_over_left,alpha,steady,12,1.1115136820937461,0.0021813319349707895,1.1099742444243021,1.1130552548292516,-0.18106342747513315
alpha-trained-alpha,baseline,pgo-alpha,right_over_left,alpha,process_wall,12,1.1060420381503975,0.004000959050295795,1.1032339527628987,1.1088572710187399,-0.42609523212273415
alpha-trained-beta,baseline,pgo-alpha,right_over_left,beta,steady,12,1.147616223132685,0.021401502611882624,1.1321167115763788,1.1633279344171883,-0.0030127513296722727
alpha-trained-beta,baseline,pgo-alpha,right_over_left,beta,process_wall,12,1.1396316914223965,0.021385831370283322,1.1242512117561132,1.1552225859428435,-0.10617285093115869
profile-choice-alpha,pgo-beta,pgo-alpha,right_over_left,alpha,steady,12,0.9413886911793631,0.035712867776323626,0.9202682872834963,0.9629938140065335,-0.09790568586477597
profile-choice-alpha,pgo-beta,pgo-alpha,right_over_left,alpha,process_wall,12,0.9437933143048899,0.03330105738215555,0.9240338586995543,0.9639753043034658,-0.08664165964466611
profile-choice-beta,pgo-beta,pgo-alpha,right_over_left,beta,steady,12,1.0573621272346183,0.033508046936004315,1.0350888325084737,1.0801147041657069,-0.02913825089330077
profile-choice-beta,pgo-beta,pgo-alpha,right_over_left,beta,process_wall,12,1.0550822241008164,0.031195884983326785,1.0343754174716917,1.0762035531881644,0.0014993085794068838
alpha-trained-startup,baseline,pgo-alpha,right_over_left,noop,process_wall,12,0.9968482756856497,0.08675368596845451,0.9433882531910456,1.0533377762296747,0.033665895374059375
