comparison,block,slot,operation,iterations,setup_ns,warmup_iterations,warmup_ns,elapsed_ns,ns_per_operation,checksum,command
store_release_relaxed,0,0,store_relaxed,50000000,6201,1000000,193260,9683359,0.193667180,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_relaxed 50000000
store_release_relaxed,0,1,store_release,50000000,4913,1000000,193372,9691225,0.193824500,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_release 50000000
store_release_relaxed,0,2,store_release,50000000,5047,1000000,201985,9683844,0.193676880,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_release 50000000
store_release_relaxed,0,3,store_relaxed,50000000,4842,1000000,193328,9696983,0.193939660,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_relaxed 50000000
store_seqcst_release,0,0,store_release,50000000,4863,1000000,193390,9692383,0.193847660,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_release 50000000
store_seqcst_release,0,1,store_seqcst,50000000,4764,1000000,193462,9697823,0.193956460,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_seqcst 50000000
store_seqcst_release,0,2,store_seqcst,50000000,4933,1000000,202698,9753476,0.195069520,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_seqcst 50000000
store_seqcst_release,0,3,store_release,50000000,4886,1000000,193638,9686669,0.193733380,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_release 50000000
fetch_add_seqcst_relaxed,0,0,fetch_add_relaxed,10000000,4888,1000000,5062708,50581100,5.058110000,10000000,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native fetch_add_relaxed 10000000
fetch_add_seqcst_relaxed,0,1,fetch_add_seqcst,10000000,13630,1000000,5060547,50543117,5.054311700,10000000,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native fetch_add_seqcst 10000000
fetch_add_seqcst_relaxed,0,2,fetch_add_seqcst,10000000,5262,1000000,5149715,50466612,5.046661200,10000000,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native fetch_add_seqcst 10000000
fetch_add_seqcst_relaxed,0,3,fetch_add_relaxed,10000000,4947,1000000,5109120,50498096,5.049809600,10000000,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native fetch_add_relaxed 10000000
store_relaxed_aa,0,0,store_relaxed,50000000,4819,1000000,193297,9726081,0.194521620,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_relaxed 50000000
store_relaxed_aa,0,1,store_relaxed,50000000,4686,1000000,193382,9681557,0.193631140,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_relaxed 50000000
store_release_relaxed,1,0,store_release,50000000,4427,1000000,193407,9690154,0.193803080,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_release 50000000
store_release_relaxed,1,1,store_relaxed,50000000,4902,1000000,193333,9679404,0.193588080,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_relaxed 50000000
store_release_relaxed,1,2,store_relaxed,50000000,4705,1000000,193424,9683020,0.193660400,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_relaxed 50000000
store_release_relaxed,1,3,store_release,50000000,4636,1000000,193372,9694173,0.193883460,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_release 50000000
store_seqcst_release,1,0,store_seqcst,50000000,4953,1000000,193511,9677631,0.193552620,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_seqcst 50000000
store_seqcst_release,1,1,store_release,50000000,4634,1000000,193470,9741282,0.194825640,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_release 50000000
store_seqcst_release,1,2,store_release,50000000,4702,1000000,193399,9687603,0.193752060,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_release 50000000
store_seqcst_release,1,3,store_seqcst,50000000,4851,1000000,193447,9689983,0.193799660,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_seqcst 50000000
fetch_add_seqcst_relaxed,1,0,fetch_add_seqcst,10000000,4828,1000000,5047611,50632251,5.063225100,10000000,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native fetch_add_seqcst 10000000
fetch_add_seqcst_relaxed,1,1,fetch_add_relaxed,10000000,4728,1000000,5138281,50567696,5.056769600,10000000,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native fetch_add_relaxed 10000000
fetch_add_seqcst_relaxed,1,2,fetch_add_relaxed,10000000,4854,1000000,5064748,50510866,5.051086600,10000000,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native fetch_add_relaxed 10000000
fetch_add_seqcst_relaxed,1,3,fetch_add_seqcst,10000000,4845,1000000,5070596,50464319,5.046431900,10000000,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native fetch_add_seqcst 10000000
store_relaxed_aa,1,0,store_relaxed,50000000,5013,1000000,193509,9688551,0.193771020,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_relaxed 50000000
