comparison,block,slot,operation,iterations,setup_ns,warmup_iterations,warmup_ns,elapsed_ns,ns_per_operation,checksum,command
store_release_relaxed,0,0,store_relaxed,50000000,7786,1000000,156454,7829093,0.156581860,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native store_relaxed 50000000
store_release_relaxed,0,1,store_release,50000000,3950,1000000,156412,7825194,0.156503880,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native store_release 50000000
store_release_relaxed,0,2,store_release,50000000,3286,1000000,156351,7824034,0.156480680,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native store_release 50000000
store_release_relaxed,0,3,store_relaxed,50000000,3142,1000000,156360,7830393,0.156607860,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native store_relaxed 50000000
store_seqcst_release,0,0,store_release,50000000,3027,1000000,156342,7892946,0.157858920,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native store_release 50000000
store_seqcst_release,0,1,store_seqcst,50000000,3208,1000000,5320060,266440467,5.328809340,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native store_seqcst 50000000
store_seqcst_release,0,2,store_seqcst,50000000,5026,1000000,5340595,266330838,5.326616760,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native store_seqcst 50000000
store_seqcst_release,0,3,store_release,50000000,3207,1000000,156364,7824548,0.156490960,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native store_release 50000000
fetch_add_seqcst_relaxed,0,0,fetch_add_relaxed,10000000,3164,1000000,5683676,56799525,5.679952500,10000000,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native fetch_add_relaxed 10000000
fetch_add_seqcst_relaxed,0,1,fetch_add_seqcst,10000000,3295,1000000,5736753,56841411,5.684141100,10000000,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native fetch_add_seqcst 10000000
fetch_add_seqcst_relaxed,0,2,fetch_add_seqcst,10000000,2984,1000000,5701579,56903490,5.690349000,10000000,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native fetch_add_seqcst 10000000
