phase,block,period,template,label,mode,elapsed_ns,ns_per_iter,iterations,checksum,final_word,process_wall_ns
ab,1,1,ABBA,A,raw,92107536,18.421507,5000000,5000000,1,95862560
ab,1,2,ABBA,B,tagged,92292417,18.458483,5000000,14153365846894594880,42949672960000001,96022904
ab,1,3,ABBA,B,tagged,92544918,18.508984,5000000,14153365846894594880,42949672960000001,96210820
ab,1,4,ABBA,A,raw,92298662,18.459732,5000000,5000000,1,96131787
ab,2,1,ABBA,A,raw,91991440,18.398288,5000000,5000000,1,95686178
ab,2,2,ABBA,B,tagged,92589347,18.517869,5000000,14153365846894594880,42949672960000001,96341039
ab,2,3,ABBA,B,tagged,92397334,18.479467,5000000,14153365846894594880,42949672960000001,96071211
ab,2,4,ABBA,A,raw,92535490,18.507098,5000000,5000000,1,96390280
ab,3,1,ABBA,A,raw,92152349,18.43047,5000000,5000000,1,95879419
ab,3,2,ABBA,B,tagged,92242219,18.448444,5000000,14153365846894594880,42949672960000001,95936265
ab,3,3,ABBA,B,tagged,92318507,18.463701,5000000,14153365846894594880,42949672960000001,96138543
ab,3,4,ABBA,A,raw,92348893,18.469779,5000000,5000000,1,96262850
ab,4,1,BAAB,B,tagged,92758999,18.5518,5000000,14153365846894594880,42949672960000001,96549123
ab,4,2,BAAB,A,raw,92175278,18.435056,5000000,5000000,1,96121531
ab,4,3,BAAB,A,raw,92218676,18.443735,5000000,5000000,1,96010099
ab,4,4,BAAB,B,tagged,92359431,18.471886,5000000,14153365846894594880,42949672960000001,96211930
ab,5,1,ABBA,A,raw,92128449,18.42569,5000000,5000000,1,95801658
ab,5,2,ABBA,B,tagged,92425335,18.485067,5000000,14153365846894594880,42949672960000001,96112380
ab,5,3,ABBA,B,tagged,92329023,18.465805,5000000,14153365846894594880,42949672960000001,95988325
ab,5,4,ABBA,A,raw,92413372,18.482674,5000000,5000000,1,96270381
ab,6,1,ABBA,A,raw,92007404,18.401481,5000000,5000000,1,95719694
ab,6,2,ABBA,B,tagged,92897746,18.579549,5000000,14153365846894594880,42949672960000001,96729268
ab,6,3,ABBA,B,tagged,92049010,18.409802,5000000,14153365846894594880,42949672960000001,95837339
ab,6,4,ABBA,A,raw,92166865,18.433373,5000000,5000000,1,95953334
ab,7,1,BAAB,B,tagged,92283086,18.456617,5000000,14153365846894594880,42949672960000001,96069908
ab,7,2,BAAB,A,raw,92138003,18.427601,5000000,5000000,1,95847514
ab,7,3,BAAB,A,raw,92030751,18.40615,5000000,5000000,1,95774749
ab,7,4,BAAB,B,tagged,92320879,18.464176,5000000,14153365846894594880,42949672960000001,96076839
ab,8,1,BAAB,B,tagged,92702069,18.540414,5000000,14153365846894594880,42949672960000001,96381310
ab,8,2,BAAB,A,raw,91947493,18.389499,5000000,5000000,1,95606354
ab,8,3,BAAB,A,raw,92157636,18.431527,5000000,5000000,1,95867061
ab,8,4,BAAB,B,tagged,92525351,18.50507,5000000,14153365846894594880,42949672960000001,96439836
ab,9,1,ABBA,A,raw,92093887,18.418777,5000000,5000000,1,95918399
ab,9,2,ABBA,B,tagged,92479420,18.495884,5000000,14153365846894594880,42949672960000001,96323179
ab,9,3,ABBA,B,tagged,92565505,18.513101,5000000,14153365846894594880,42949672960000001,96481811
ab,9,4,ABBA,A,raw,92363266,18.472653,5000000,5000000,1,96295081
ab,10,1,BAAB,B,tagged,92426999,18.4854,5000000,14153365846894594880,42949672960000001,96329165
ab,10,2,BAAB,A,raw,92229393,18.445879,5000000,5000000,1,95868127
ab,10,3,BAAB,A,raw,92218310,18.443662,5000000,5000000,1,95940819
ab,10,4,BAAB,B,tagged,92470454,18.494091,5000000,14153365846894594880,42949672960000001,96280459
ab,11,1,BAAB,B,tagged,92436585,18.487317,5000000,14153365846894594880,42949672960000001,96128261
ab,11,2,BAAB,A,raw,92211054,18.442211,5000000,5000000,1,96050127
ab,11,3,BAAB,A,raw,92168801,18.43376,5000000,5000000,1,96005989
ab,11,4,BAAB,B,tagged,92536271,18.507254,5000000,14153365846894594880,42949672960000001,96352086
ab,12,1,BAAB,B,tagged,92791441,18.558288,5000000,14153365846894594880,42949672960000001,96593259
ab,12,2,BAAB,A,raw,92365175,18.473035,5000000,5000000,1,96162348
ab,12,3,BAAB,A,raw,92157783,18.431557,5000000,5000000,1,95861283
ab,12,4,BAAB,B,tagged,92386811,18.477362,5000000,14153365846894594880,42949672960000001,96110443
aa,1,1,LRRL,L,raw,92336073,18.467215,5000000,5000000,1,96049351
aa,1,2,LRRL,R,raw,92416868,18.483374,5000000,5000000,1,96142335
aa,1,3,LRRL,R,raw,92320810,18.464162,5000000,5000000,1,96098013
aa,1,4,LRRL,L,raw,92252575,18.450515,5000000,5000000,1,96003682
aa,2,1,RLLR,R,raw,92306901,18.46138,5000000,5000000,1,96117415
aa,2,2,RLLR,L,raw,92112057,18.422411,5000000,5000000,1,95906667
aa,2,3,RLLR,L,raw,92165237,18.433047,5000000,5000000,1,95950487
aa,2,4,RLLR,R,raw,92399248,18.47985,5000000,5000000,1,96290478
aa,3,1,LRRL,L,raw,92328143,18.465629,5000000,5000000,1,96100293
aa,3,2,LRRL,R,raw,92149933,18.429987,5000000,5000000,1,95960863
aa,3,3,LRRL,R,raw,92369965,18.473993,5000000,5000000,1,95989390
aa,3,4,LRRL,L,raw,92349326,18.469865,5000000,5000000,1,96065205
aa,4,1,RLLR,R,raw,92333006,18.466601,5000000,5000000,1,96108085
aa,4,2,RLLR,L,raw,92317874,18.463575,5000000,5000000,1,95978618
aa,4,3,RLLR,L,raw,92147294,18.429459,5000000,5000000,1,95898698
aa,4,4,RLLR,R,raw,92402982,18.480596,5000000,5000000,1,96295099
aa,5,1,RLLR,R,raw,92303927,18.460785,5000000,5000000,1,96035674
aa,5,2,RLLR,L,raw,92197046,18.439409,5000000,5000000,1,96032682
aa,5,3,RLLR,L,raw,92123556,18.424711,5000000,5000000,1,95832771
