phase,block,period,template,label,mode,elapsed_ns,ns_per_iter,iterations,checksum,final_word,process_wall_ns
ab,1,1,ABBA,A,raw,111986941,22.397388,5000000,5000000,1,115489595
ab,1,2,ABBA,B,tagged,116231947,23.246389,5000000,14153365846894594880,42949672960000001,119596830
ab,1,3,ABBA,B,tagged,116263094,23.252619,5000000,14153365846894594880,42949672960000001,119564188
ab,1,4,ABBA,A,raw,111980406,22.396081,5000000,5000000,1,115336768
ab,2,1,ABBA,A,raw,112001772,22.400354,5000000,5000000,1,115298693
ab,2,2,ABBA,B,tagged,116376742,23.275348,5000000,14153365846894594880,42949672960000001,120023843
ab,2,3,ABBA,B,tagged,116338035,23.267607,5000000,14153365846894594880,42949672960000001,119803234
ab,2,4,ABBA,A,raw,112012242,22.402448,5000000,5000000,1,115213939
ab,3,1,ABBA,A,raw,111949871,22.389974,5000000,5000000,1,115152003
ab,3,2,ABBA,B,tagged,116420949,23.28419,5000000,14153365846894594880,42949672960000001,119643919
ab,3,3,ABBA,B,tagged,116276291,23.255258,5000000,14153365846894594880,42949672960000001,119549686
ab,3,4,ABBA,A,raw,111923145,22.384629,5000000,5000000,1,115203341
ab,4,1,BAAB,B,tagged,116327419,23.265484,5000000,14153365846894594880,42949672960000001,119643907
ab,4,2,BAAB,A,raw,112130357,22.426071,5000000,5000000,1,115327447
ab,4,3,BAAB,A,raw,111934903,22.386981,5000000,5000000,1,115536720
ab,4,4,BAAB,B,tagged,116353645,23.270729,5000000,14153365846894594880,42949672960000001,119710249
ab,5,1,ABBA,A,raw,111963532,22.392706,5000000,5000000,1,115112762
ab,5,2,ABBA,B,tagged,116413089,23.282618,5000000,14153365846894594880,42949672960000001,119765970
ab,5,3,ABBA,B,tagged,116244299,23.24886,5000000,14153365846894594880,42949672960000001,119499912
ab,5,4,ABBA,A,raw,111950834,22.390167,5000000,5000000,1,115128056
ab,6,1,ABBA,A,raw,111953488,22.390698,5000000,5000000,1,115173086
ab,6,2,ABBA,B,tagged,116332677,23.266535,5000000,14153365846894594880,42949672960000001,119535269
ab,6,3,ABBA,B,tagged,116385241,23.277048,5000000,14153365846894594880,42949672960000001,120051839
ab,6,4,ABBA,A,raw,112063650,22.41273,5000000,5000000,1,115787245
ab,7,1,BAAB,B,tagged,116295065,23.259013,5000000,14153365846894594880,42949672960000001,120087239
ab,7,2,BAAB,A,raw,111986476,22.397295,5000000,5000000,1,115492639
ab,7,3,BAAB,A,raw,112104758,22.420952,5000000,5000000,1,115451825
ab,7,4,BAAB,B,tagged,116276989,23.255398,5000000,14153365846894594880,42949672960000001,119696526
ab,8,1,BAAB,B,tagged,116340775,23.268155,5000000,14153365846894594880,42949672960000001,119709156
ab,8,2,BAAB,A,raw,112007076,22.401415,5000000,5000000,1,115373765
ab,8,3,BAAB,A,raw,111987448,22.39749,5000000,5000000,1,115325492
ab,8,4,BAAB,B,tagged,116414783,23.282957,5000000,14153365846894594880,42949672960000001,119583249
ab,9,1,ABBA,A,raw,111956667,22.391333,5000000,5000000,1,115124965
ab,9,2,ABBA,B,tagged,116284755,23.256951,5000000,14153365846894594880,42949672960000001,119459004
ab,9,3,ABBA,B,tagged,116311731,23.262346,5000000,14153365846894594880,42949672960000001,119632316
ab,9,4,ABBA,A,raw,112015593,22.403119,5000000,5000000,1,115193858
ab,10,1,BAAB,B,tagged,116296515,23.259303,5000000,14153365846894594880,42949672960000001,120013737
ab,10,2,BAAB,A,raw,111952899,22.39058,5000000,5000000,1,115424376
ab,10,3,BAAB,A,raw,111967369,22.393474,5000000,5000000,1,115150098
ab,10,4,BAAB,B,tagged,116483654,23.296731,5000000,14153365846894594880,42949672960000001,120108910
ab,11,1,BAAB,B,tagged,116350922,23.270184,5000000,14153365846894594880,42949672960000001,119745379
ab,11,2,BAAB,A,raw,111937605,22.387521,5000000,5000000,1,115510691
ab,11,3,BAAB,A,raw,111959483,22.391897,5000000,5000000,1,115349729
ab,11,4,BAAB,B,tagged,116395460,23.279092,5000000,14153365846894594880,42949672960000001,119570694
ab,12,1,BAAB,B,tagged,116278526,23.255705,5000000,14153365846894594880,42949672960000001,119675939
ab,12,2,BAAB,A,raw,112015460,22.403092,5000000,5000000,1,115164525
ab,12,3,BAAB,A,raw,112005697,22.401139,5000000,5000000,1,115267294
ab,12,4,BAAB,B,tagged,116485433,23.297087,5000000,14153365846894594880,42949672960000001,119813854
aa,1,1,LRRL,L,raw,111946851,22.38937,5000000,5000000,1,115081920
aa,1,2,LRRL,R,raw,111931226,22.386245,5000000,5000000,1,115036091
aa,1,3,LRRL,R,raw,111952187,22.390437,5000000,5000000,1,115047101
aa,1,4,LRRL,L,raw,112020970,22.404194,5000000,5000000,1,115244361
aa,2,1,RLLR,R,raw,112012055,22.402411,5000000,5000000,1,115281306
aa,2,2,RLLR,L,raw,111971895,22.394379,5000000,5000000,1,115091914
aa,2,3,RLLR,L,raw,111919991,22.383998,5000000,5000000,1,115204151
aa,2,4,RLLR,R,raw,112007633,22.401527,5000000,5000000,1,115171958
aa,3,1,LRRL,L,raw,112136235,22.427247,5000000,5000000,1,115355640
aa,3,2,LRRL,R,raw,111959434,22.391887,5000000,5000000,1,115574827
aa,3,3,LRRL,R,raw,111945998,22.3892,5000000,5000000,1,115226584
aa,3,4,LRRL,L,raw,111944055,22.388811,5000000,5000000,1,115472387
aa,4,1,RLLR,R,raw,112103618,22.420724,5000000,5000000,1,115447843
aa,4,2,RLLR,L,raw,111926883,22.385377,5000000,5000000,1,115215768
aa,4,3,RLLR,L,raw,112015758,22.403152,5000000,5000000,1,115582729
aa,4,4,RLLR,R,raw,111987611,22.397522,5000000,5000000,1,115414030
aa,5,1,RLLR,R,raw,112066171,22.413234,5000000,5000000,1,115231636
aa,5,2,RLLR,L,raw,112095680,22.419136,5000000,5000000,1,115209128
aa,5,3,RLLR,L,raw,111951582,22.390316,5000000,5000000,1,115071724
aa,5,4,RLLR,R,raw,111988021,22.397604,5000000,5000000,1,115113720
aa,6,1,LRRL,L,raw,111956752,22.39135,5000000,5000000,1,115113001
aa,6,2,LRRL,R,raw,112137004,22.427401,5000000,5000000,1,115273233
aa,6,3,LRRL,R,raw,112028170,22.405634,5000000,5000000,1,115242425
aa,6,4,LRRL,L,raw,111945456,22.389091,5000000,5000000,1,115284692
