family,comparison,block,template,log_contrast,ratio
primary,sendmmsg_over_scalar,1,ABBA,-0.08143868182532543,0.9217892305540487
primary,sendmmsg_over_scalar,2,BAAB,-0.09627281898880824,0.9082162036399788
primary,sendmmsg_over_scalar,3,ABBA,-0.07280444034071465,0.9297826402241748
primary,sendmmsg_over_scalar,4,BAAB,-0.06597104899918449,0.9361579666093521
primary,sendmmsg_over_scalar,5,BAAB,-0.0682561745036061,0.9340211705171361
primary,sendmmsg_over_scalar,6,BAAB,-0.06619538552552129,0.9359479757382124
primary,sendmmsg_over_scalar,7,ABBA,-0.0772424775712679,0.9256653733003508
primary,sendmmsg_over_scalar,8,ABBA,-0.08541725077722617,0.9181291143814525
primary,udp_segment_over_scalar,1,BAAB,-0.05694321630715038,0.9446477084289234
primary,udp_segment_over_scalar,2,ABBA,0.007611612101090515,1.0076406540590899
primary,udp_segment_over_scalar,3,BAAB,-0.05642622155610866,0.9451362126019307
primary,udp_segment_over_scalar,4,ABBA,-0.05184928290316293,0.9494719577164934
primary,udp_segment_over_scalar,5,BAAB,-0.05042724970396506,0.950823098818138
primary,udp_segment_over_scalar,6,ABBA,-0.05269894076420201,0.9486655740274156
primary,udp_segment_over_scalar,7,BAAB,-0.05600253514334952,0.9455367388161827
primary,udp_segment_over_scalar,8,ABBA,-0.049056844920915665,0.9521270045758735
aa,aa_right_over_aa_left,1,ABBA,-0.005610488128169777,0.9944052212674916
aa,aa_right_over_aa_left,2,BAAB,0.005228466025769762,1.0052421583070694
aa,aa_right_over_aa_left,3,BAAB,-0.03166558667246733,0.9688305177492318
aa,aa_right_over_aa_left,4,ABBA,0.00804754059269186,1.0080800090862194
