family,comparison,block,template,log_contrast,ratio
primary,sendmmsg_over_scalar,1,ABBA,-0.06357856020000696,0.9384003954820673
primary,sendmmsg_over_scalar,2,BAAB,-0.06933431905977017,0.9330147033328516
primary,sendmmsg_over_scalar,3,ABBA,-0.06982278782624718,0.9325590660829521
primary,sendmmsg_over_scalar,4,BAAB,-0.07165979219735163,0.9308475235391239
primary,sendmmsg_over_scalar,5,BAAB,-0.06475172725837908,0.9373001405681267
primary,sendmmsg_over_scalar,6,BAAB,-0.07555710232229984,0.927226782219714
primary,sendmmsg_over_scalar,7,ABBA,-0.05977282530644601,0.9419785029568588
primary,sendmmsg_over_scalar,8,ABBA,-0.07306836840210451,0.9295372768749872
primary,udp_segment_over_scalar,1,BAAB,-0.24128730792347142,0.7856158802933643
primary,udp_segment_over_scalar,2,ABBA,-0.24999449739348378,0.7788050685174592
primary,udp_segment_over_scalar,3,BAAB,-0.24210283825766865,0.784975447893478
primary,udp_segment_over_scalar,4,ABBA,-0.2526416623955896,0.776746169321872
primary,udp_segment_over_scalar,5,BAAB,-0.24383996078441328,0.7836130330433655
primary,udp_segment_over_scalar,6,ABBA,-0.22755337263415498,0.796479910132175
primary,udp_segment_over_scalar,7,BAAB,-0.23628883652430943,0.7895525893691392
primary,udp_segment_over_scalar,8,ABBA,-0.24687913295490915,0.7812351134048144
aa,aa_right_over_aa_left,1,ABBA,-0.008155550452052296,0.9918776158252091
aa,aa_right_over_aa_left,2,BAAB,-0.018094822537225497,0.9820679057725679
aa,aa_right_over_aa_left,3,BAAB,-0.003946658045084206,0.9960611197742827
aa,aa_right_over_aa_left,4,ABBA,0.00013520471016192914,1.0001352138507307
